Date,Open,High,Low,Close,Adj Close,Volume
2020-07-02,3323.899902,3323.899902,3280.030029,3323.899902,3323.899902,0
2020-07-03,3324.709961,3336.500000,3307.580078,3324.709961,3324.709961,0
2020-07-06,3336.500000,3339.889893,3326.090088,3336.500000,3336.500000,0
2020-07-07,3326.090088,3339.889893,3326.090088,3326.090088,3326.090088,0
2020-07-08,3328.919922,3364.239990,3324.989990,3328.919922,3328.919922,0
2020-07-09,3374.820068,3374.820068,3324.989990,3374.820068,3374.820068,0
2020-07-10,3348.459961,3348.459961,3329.459961,3348.459961,3348.459961,0
2020-07-13,3335.629883,3357.129883,3334.199951,3335.629883,3335.629883,0
2020-07-14,3374.510010,3374.510010,3334.199951,3374.510010,3374.510010,0
2020-07-15,3373.479980,3375.149902,3335.530029,3373.479980,3373.479980,0
2020-07-16,3409.139893,3409.139893,3375.149902,3409.139893,3409.139893,0
2020-07-17,3404.689941,3412.010010,3376.629883,3404.689941,3404.689941,0
2020-07-20,3431.500000,3431.500000,3399.520020,3431.500000,3431.500000,0
2020-07-21,3449.350098,3454.229980,3411.310059,3449.350098,3449.350098,0
2020-07-22,3460.800049,3460.800049,3398.300049,3460.800049,3460.800049,0
2020-07-23,3451.860107,3451.860107,3377.139893,3451.360107,3451.360107,0
2020-07-24,3426.560059,3426.560059,3377.139893,3426.560059,3426.560059,0
2020-07-27,3428.510010,3428.510010,3368.310059,3428.510010,3428.510010,0
2020-07-28,3413.280029,3413.280029,3368.310059,3413.280029,3413.280029,0
2020-07-29,3399.780029,3399.780029,3371.939941,3399.780029,3399.780029,0
2020-07-30,3418.530029,3421.550049,3379.090088,3418.530029,3418.530029,0
2020-07-31,3451.669922,3451.669922,3397.639893,3451.669922,3451.669922,0
2020-08-03,3421.780029,3421.780029,3398.040039,3421.780029,3421.780029,0
2020-08-04,3454.550049,3454.550049,3417.760010,3454.550049,3454.550049,0
2020-08-05,3442.169922,3442.169922,3417.760010,3442.169922,3442.169922,0
2020-08-06,3424.139893,3435.800049,3424.139893,3424.139893,3424.139893,0
2020-08-07,3487.689941,3494.379883,3435.800049,3487.689941,3487.689941,0
2020-08-10,3446.060059,3485.120117,3442.770020,3446.060059,3446.060059,0
2020-08-11,3476.800049,3476.800049,3442.770020,3476.800049,3476.800049,0
2020-08-12,3471.300049,3474.250000,3454.979980,3471.300049,3471.300049,0
2020-08-13,3503.600098,3503.600098,3473.159912,3503.600098,3503.600098,0
2020-08-14,3494.030029,3494.030029,3478.659912,3494.030029,3494.030029,0
2020-08-17,3481.600098,3491.280029,3481.600098,3481.600098,3481.600098,0
2020-08-18,3514.629883,3514.629883,3483.020020,3514.629883,3514.629883,0
2020-08-19,3503.070068,3503.070068,3493.919922,3503.070068,3503.070068,0
2020-08-20,3493.919922,3493.919922,3493.550049,3493.919922,3493.919922,0
2020-08-21,3493.550049,3493.550049,3487.969971,3493.550049,3493.550049,0
2020-08-24,3487.969971,3487.969971,3466.889893,3487.969971,3487.969971,0
2020-08-25,3466.889893,3466.889893,3458.909912,3466.889893,3466.889893,0
2020-08-26,3466.629883,3471.899902,3466.629883,3466.629883,3466.629883,0
2020-08-27,3471.899902,3471.899902,3466.760010,3471.899902,3471.899902,0
2020-08-28,3466.760010,3466.760010,3464.629883,3466.760010,3466.760010,0
2020-08-31,3464.629883,3464.629883,3449.629883,3464.629883,3464.629883,0
2020-09-01,3449.629883,3470.909912,3449.629883,3449.629883,3449.629883,0
2020-09-02,3470.909912,3509.669922,3470.909912,3470.909912,3470.909912,0
